feature,importance
roll_14_mean,0.4681824
roll_28_mean,0.17849247
roll_7_mean,0.16248387
any_event_flag,0.03689259
weather_disruption_index,0.03270016
dow_sin,0.017026372
holiday_peak_flag,0.008980668
day_of_week,0.008103668
month,0.006633474
marketing_push_flag,0.0058568846
month_sin,0.0051242514
week_number,0.00480023
dow_cos,0.004580522
week_sin,0.004320687
prime_x_weekend,0.0043122317
prime_event_flag,0.004292944
holiday_x_marketing,0.0039316136
quarter,0.0038740928
lag_21,0.0035430423
days_since_holiday,0.0034148402
roll_28_min,0.0028535707
month_cos,0.0024358109
days_since_prime,0.002280251
target_service_level,0.0018758293
selling_price_usd,0.0017305766
roll_28_max,0.0016330206
lag_14,0.0016264145
category_enc,0.0016073181
week_cos,0.0015282369
lag_7,0.0014567153
roll_7_min,0.0014214468
lag_1,0.0012667819
roll_7_max,0.0010656326
sku_enc,0.0010057057
cube_ft,0.00095173443
roll_28_std,0.0008587488
price_usd,0.0008317193
unit_cost_usd,0.0008102499
roll_14_std,0.000786403
roll_7_cv,0.0007730059
demand_velocity,0.00076787896
region_enc,0.0007584048
roll_7_std,0.00075112
year,0.00071653613
price_ratio,0.00065973663
weekend_flag,0.0
