file_path,exists,char_count,preview
reports/executive/day7_narrative.txt,True,3189, ╔══════════════════════════════════════════════════════════════╗ ║   DAY 7 — EXECUTIVE BUSINESS NARRATIVE                      ║ ║   Regional Demand Forecasting + Inventory Optimization      ║ ╠══════════════════════════════════════════════════════════════╣ ║                                                             ║ ║  WHAT WAS DONE TODAY                                        ║ ║  Evaluated 4 baseline forecasting methods across all        ║ ║  SKU-Region combinations on a 21-day holdout period.      ║ ║                                                             ║ ║  METHODS TESTED                                             ║ ║  1. Naive          — Last observed value                 
reports/executive/day8_narrative.txt,True,4628, ╔══════════════════════════════════════════════════════════════════╗ ║  DAY 8 EXECUTIVE NARRATIVE — ML FORECASTING RESULTS             ║ ║  Regional Demand Forecasting + Inventory Optimization           ║ ║  Author : arvindswami014uk                                      ║ ║  Date   : 2026-04-09                                          ║ ╚══════════════════════════════════════════════════════════════════╝  ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ EXECUTIVE SUMMARY ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ Day 8 introduced two machine learning forecasting approaches — XGBoost (gradient boosted decision trees) and Facebook Prophet (Bayesian struct
reports/executive/day9_narrative.txt,True,4080,==================================================================== DAY 9 EXECUTIVE NARRATIVE — INVENTORY POLICY RESULTS Regional Demand Forecasting + Inventory Optimization Author  : arvindswami014uk Date    : 2026-04-09 ====================================================================  EXECUTIVE SUMMARY ────────────────────────────────────────────────── Day 9 translated XGBoost ML forecasts (WMAPE = 11.06%) into actionable inventory policy for all 125 SKU-Region combinations across 5 regions and 6 product categories. Safety stock was calculated using the formula:   SS = Z x sigma_error x sqrt(lead_time) Reorder points were set to protect against stockouts during replenishment lead time
reports/executive/day11_narrative.txt,True,2195,"Day 11 Executive Narrative — Green-Fast Fulfillment  Objective Day 11 extends the capstone from forecasting and inventory policy into sustainable fulfillment decision support. The project now recommends how the fulfillment network should respond to forecasted regional demand while balancing service, cost, and carbon intensity.  Confirmed carry-forward benchmarks The forecasting foundation remains the Day 8 XGBoost model with 11.06% WMAPE, materially better than the 19.25% MA7 baseline. The inventory foundation carries forward Day 9 policy results including \$157,292.60 in safety stock value, \$21,370.33 in annual storage cost, and \$780,850.78 in replenishment requirement.  What was built to"
reports/executive/day11_5_narrative_patch.txt,True,996,"Day 11.5 Narrative Patch — Strategy Differentiation Refinement  The initial Day 11 strategy outputs were too similar across Speed-first, Cost-first, Carbon-first, and Balanced policies. That indicated the synthetic network assumptions were not creating enough tension between service, cost, and carbon objectives.  To correct this, the Day 11.5 refinement introduced stronger warehouse-level differentiation using: - warehouse cost multipliers - warehouse speed multipliers - warehouse carbon multipliers - tighter effective capacity pressure - stronger same-region preference for carbon-aware strategies - urgency penalties for slower cross-region fulfillment  This produced a more realistic green-f"
reports/executive/day12c_narrative.txt,True,1709,"Day 12C Executive Narrative — Constrained Strategy Selection  Recommended strategy: Balanced Recommendation type: Best partial-fit winner  Why this strategy was selected - It passed 4 out of 5 decision constraints. - Fill rate: 25.99% - Average lead time: 1.77 days - Total cost-to-serve: $9,350,617.55 - Estimated carbon: 5,936.99 kg CO2e proxy - Same-region fulfillment rate: 65.71%  What changed versus Day 11 Day 11 identified the strongest strategy in comparative terms. Day 12C adds explicit business thresholds so the recommendation now reflects constrained decision logic rather than average ranking alone.  Forecast and inventory context - Forecast model in production path: XGBoost - Foreca"
reports/executive/sustainability_narrative.txt,True,1305,"Sustainability Narrative — Carbon-Aware Allocation and Green-Fast Fulfillment  This project uses a synthetic carbon-emissions proxy for comparative planning analysis. Because confirmed shipment distance and measured emissions data were not available in the working dataset, transparent lane-based factors were used instead of claiming precise carbon accounting.  The sustainability logic is operational. Same-region fulfillment is treated as lower-carbon and typically faster than unnecessary cross-region movement. Cross-region lanes are assigned progressively higher carbon factors as lead time increases.  This enables a direct comparison between cost-to-serve and carbon-to-serve. It also makes s"
reports/executive/day13_executive_memo.txt,True,4519,"Day 13 Executive Memo — Regional Demand Forecasting + Inventory Optimization  Business problem The business needed a more reliable way to forecast regional SKU demand, translate that demand into inventory policy, and choose a fulfillment strategy that balances service, cost, and sustainability.  Approach This capstone combined three decision layers: demand forecasting, inventory optimization, and strategic fulfillment scenario analysis. The workflow moved from baseline forecasting to machine learning uplift, then from forecast outputs into safety stock and reorder point decisions, and finally into a constrained operating strategy comparison.  Data scope The working dataset covered approximat"
reports/executive/day13_board_memo.txt,True,1144,"Day 13 Board Memo — Regional Demand Forecasting + Inventory Optimization  Decision Adopt XGBoost-based regional demand forecasting, retain policy-based inventory controls, and deploy a Carbon-first fulfillment strategy under the current network proxy.  Why now The current process opportunity is not just better forecasting. It is better commercial control across demand, inventory, and fulfillment decisions.  What changed - Forecast WMAPE improved from 19.25% to 11.06% - Improvement versus strongest baseline: 42.5% - Inventory policy now quantifies $157,292.60 in safety stock and $780,850.78 in replenishment needs - 41 SKU-region combinations need prioritized attention  Management insight Unde"
reports/executive/day13_linkedin_project_summary.txt,True,876,"Built an end-to-end Regional Demand Forecasting + Inventory Optimization capstone in Python using Google Colab. Improved forecast accuracy from a MA7 baseline WMAPE of 19.25% to XGBoost WMAPE of 11.06%, a 42.5% improvement. Translated forecasts into inventory policy with $157,292.60 safety stock, $21,370.33 annual storage cost, and $780,850.78 replenishment need visibility across 125 SKU-region combinations. Extended the project into fulfillment strategy design by comparing service, cost, and synthetic carbon trade-offs across scenarios. Key insight: in the current network proxy, lower-carbon routing aligned with faster same-region fulfillment, making Carbon-first the recommended strategy. P"
README_day13_reviewer_guide.txt,True,1378,Day 13 Reviewer Guide — Regional Demand Forecasting + Inventory Optimization  What this project does This project builds an end-to-end planning workflow that connects regional demand forecasting to inventory policy and strategic fulfillment decision-making.  Recommended review order 1. reports/executive/day13_executive_memo.txt 2. reports/executive/day13_board_memo.txt 3. reports/presentation/day13_slide_builder.csv 4. outputs/benchmarks/overall_accuracy.csv 5. models/ml/model_comparison_all.csv 6. models/inventory/inventory_policy_table.csv 7. outputs/benchmarks/day11_5_executive_scorecard_v2.csv 8. reports/technical/day13_reproducibility_notes.txt  What to look for - Forecast accuracy impr
reports/technical/day13_reproducibility_notes.txt,True,866,"Day 13 Reproducibility Notes  Environment - Built in Google Colab - Python-based workflow - Repo cloned into /content/regional-demand-forecasting-optimizer  Reliability controls used - Local-first CSV loading with GitHub raw fallback - Dynamic column detection via find_column() to prevent schema-related KeyError issues - Git commands executed with cwd=REPO_PATH - All Day 13 outputs saved directly inside REPO_PATH  Known assumptions - Exact confirmed business numbers were preserved from prior validated project days - Day 12C outputs were used only if present; if absent, Day 11.5 strategy logic remained the fallback - Scorecard column names were validated dynamically  Main reproducibility cave"
reports/technical/day13_resume_bullets.txt,True,844,"- Built an end-to-end regional demand forecasting and inventory optimization capstone in Python, connecting ML forecasting, inventory policy, and fulfillment strategy decisions. - Improved forecast accuracy from 19.25% WMAPE (best baseline MA7) to 11.06% WMAPE using XGBoost, delivering a 42.5% improvement versus baseline. - Engineered forecasting outputs into safety stock and reorder point policies across 125 SKU-region combinations, quantifying \$157.3K safety stock and \$780.9K replenishment need. - Designed a scenario-based fulfillment strategy framework comparing service, cost, same-region routing, and synthetic carbon trade-offs for executive decision-making. - Produced portfolio-grade "
reports/technical/day13_project_summary_for_cv.txt,True,596,"Regional Demand Forecasting + Inventory Optimization Developed an end-to-end supply chain analytics capstone in Python and Google Colab that improved regional demand forecast accuracy, translated forecasts into inventory policies, and evaluated fulfillment strategy trade-offs across service, cost, and sustainability proxy metrics. XGBoost reduced WMAPE from 19.25% to 11.06%, while downstream inventory logic quantified safety stock, storage cost, and replenishment requirements. Final deliverables included executive-ready recommendations, governance documentation, and presentation materials."
reports/technical/day13_interview_qna.txt,True,927,"Day 13 Interview Q&A  Q: Why did you use WMAPE? A: WMAPE is business-friendly for demand forecasting because it weights error by volume and avoids overemphasizing low-volume series.  Q: Why was XGBoost chosen over Prophet? A: XGBoost achieved the best WMAPE at 11.06% and captured richer feature interactions from engineered demand signals.  Q: How did you connect forecasting to business action? A: I converted forecasts into safety stock and reorder point policies, then used those outputs to inform broader fulfillment strategy decisions.  Q: What is the biggest limitation? A: The carbon metric is a synthetic proxy for comparative strategy evaluation and should not be treated as an audited ESG "
